Observatory;Data_year;agglomeration;Zone_complementaire;Type_habitat;epoque_construction_homogene;anciennete_locataire_homogene;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B2900;2022;Agglomération de Brest;;;1. Avant 1946;;Ensemble 1P;8,6;11,2;13,8;17,9;20,6;13,4;275;300;318;360;395;324;24;206;373;Estimation directe
B2900;2022;Agglomération de Brest;;;1. Avant 1946;;Ensemble 2P;6,9;8,0;9,7;12,7;13,1;9,4;328;360;400;435;520;411;44;227;913;Estimation directe
B2900;2022;Agglomération de Brest;;;1. Avant 1946;;Ensemble 3P;6,8;7,0;8,7;9,7;11,5;8,7;400;426;503;620;630;515;59;105;512;Estimation directe
B2900;2022;Agglomération de Brest;;;1. Avant 1946;1. Moins de 1 an;;7,5;9,0;11,1;13,0;19,2;10,4;315;355;400;555;630;454;44;216;;Estimation directe
B2900;2022;Agglomération de Brest;;;1. Avant 1946;1. Moins de 1 an;Maison 1-3P;;;;;;;;;;;;;;2;;Estimation directe
B2900;2022;Agglomération de Brest;;;1. Avant 1946;1. Moins de 1 an;Maison 4P+;;;;;;;;;;;;;;5;;Estimation directe
B2900;2022;Agglomération de Brest;;;1. Avant 1946;1. Moins de 1 an;Appart 1P;8,6;11,0;14,4;19,8;21,9;14,0;275;300;330;390;395;342;24;87;;Estimation directe
B2900;2022;Agglomération de Brest;;;1. Avant 1946;1. Moins de 1 an;Appart 2P;8,3;9,3;11,1;13,0;13,8;10,9;330;390;400;445;480;408;37;77;;Estimation directe
B2900;2022;Agglomération de Brest;;;1. Avant 1946;1. Moins de 1 an;Appart 3P;;;;;;;;;;;;;;36;;Estimation directe
B2900;2022;Agglomération de Brest;;;1. Avant 1946;1. Moins de 1 an;Appart 4P+;;;;;;;;;;;;;;9;;Estimation directe
B2900;2022;Agglomération de Brest;;;1. Avant 1946;2. 1 an et plus;;6,3;7,1;8,0;10,6;13,3;8,0;300;357;420;530;725;461;58;391;;Estimation directe
B2900;2022;Agglomération de Brest;;;1. Avant 1946;2. 1 an et plus;Maison 1-3P;;;;;;;;;;;;;;4;;Estimation directe
B2900;2022;Agglomération de Brest;;;1. Avant 1946;2. 1 an et plus;Maison 4P+;;;;;;;;;;;;;;19;;Estimation directe
B2900;2022;Agglomération de Brest;;;1. Avant 1946;2. 1 an et plus;Appart 1P;7,1;11,5;13,4;16,3;17,6;12,6;213;280;300;324;353;300;24;119;;Estimation directe
B2900;2022;Agglomération de Brest;;;1. Avant 1946;2. 1 an et plus;Appart 2P;6,3;7,6;8,4;10,9;13,1;8,6;325;350;395;425;520;393;46;147;;Estimation directe
B2900;2022;Agglomération de Brest;;;1. Avant 1946;2. 1 an et plus;Appart 3P;6,7;7,0;7,5;8,4;9,5;7,8;370;426;440;475;590;457;59;66;;Estimation directe
B2900;2022;Agglomération de Brest;;;1. Avant 1946;2. 1 an et plus;Appart 4P+;;;;;;;;;;;;;;36;;Estimation directe
B2900;2022;Agglomération de Brest;;;2. Entre 1946-1970;;;6,6;7,3;8,3;9,6;11,3;8,2;353;420;480;570;675;511;62;2128;9191;Estimation directe
B2900;2022;Agglomération de Brest;;;2. Entre 1946-1970;;Ensemble 4P+;6,0;6,6;7,3;7,9;9,0;7,3;430;498;590;688;950;641;87;500;2420;Estimation directe
B2900;2022;Agglomération de Brest;;;2. Entre 1946-1970;;Ensemble 1P;9,1;10,6;12,4;14,3;17,4;12,3;280;320;340;395;428;348;28;301;1001;Estimation directe
B2900;2022;Agglomération de Brest;;;2. Entre 1946-1970;;Ensemble 2P;7,8;8,6;9,3;10,5;11,7;9,4;320;380;430;470;500;424;45;595;2799;Estimation directe
B2900;2022;Agglomération de Brest;;;2. Entre 1946-1970;;Ensemble 3P;6,6;7,2;8,0;9,1;9,9;8,0;418;460;500;580;675;521;65;732;2972;Estimation directe
B2900;2022;Agglomération de Brest;;;2. Entre 1946-1970;1. Moins de 1 an;;6,9;7,6;9,2;10,3;12,2;8,8;345;430;500;600;715;519;59;688;;Estimation directe
B2900;2022;Agglomération de Brest;;;2. Entre 1946-1970;1. Moins de 1 an;Maison 4P+;;;;;;;;;;;;;;17;;Estimation directe
B2900;2022;Agglomération de Brest;;;2. Entre 1946-1970;1. Moins de 1 an;Appart 1P;8,9;10,6;12,6;16,7;20,8;13,1;320;330;350;400;430;363;28;119;;Estimation directe
B2900;2022;Agglomération de Brest;;;2. Entre 1946-1970;1. Moins de 1 an;Appart 2P;8,2;9,1;9,6;11,6;12,2;9,9;325;400;450;490;500;433;44;183;;Estimation directe
B2900;2022;Agglomération de Brest;;;2. Entre 1946-1970;1. Moins de 1 an;Appart 3P;7,2;7,6;9,0;9,8;10,2;8,7;470;500;582;660;700;581;67;234;;Estimation directe
B2900;2022;Agglomération de Brest;;;2. Entre 1946-1970;1. Moins de 1 an;Appart 4P+;6,1;6,5;6,9;8,0;8,9;7,3;430;460;550;695;830;599;82;135;;Estimation directe
B2900;2022;Agglomération de Brest;;;2. Entre 1946-1970;2. 1 an et plus;;6,3;7,1;7,9;9,2;10,5;7,9;359;410;470;541;635;505;64;1440;;Estimation directe
B2900;2022;Agglomération de Brest;;;2. Entre 1946-1970;2. 1 an et plus;Maison 1-3P;;;;;;;;;;;;;;7;;Estimation directe
B2900;2022;Agglomération de Brest;;;2. Entre 1946-1970;2. 1 an et plus;Maison 4P+;;;;;;;;;;;;;;29;;Estimation directe
B2900;2022;Agglomération de Brest;;;2. Entre 1946-1970;2. 1 an et plus;Appart 1P;9,3;10,0;10,6;13,6;14,5;11,2;260;280;330;366;382;327;29;181;;Estimation directe
B2900;2022;Agglomération de Brest;;;2. Entre 1946-1970;2. 1 an et plus;Appart 2P;7,2;8,2;9,3;10,0;11,6;9,1;320;380;420;466;490;418;46;411;;Estimation directe
B2900;2022;Agglomération de Brest;;;2. Entre 1946-1970;2. 1 an et plus;Appart 3P;6,1;6,9;7,7;8,4;9,1;7,5;395;431;480;520;555;478;63;493;;Estimation directe
B2900;2022;Agglomération de Brest;;;2. Entre 1946-1970;2. 1 an et plus;Appart 4P+;5,7;6,6;7,3;7,9;8,7;7,2;408;495;560;635;1016;625;87;319;;Estimation directe
B2900;2022;Agglomération de Brest;;;3. Entre 1971-1990;;;6,2;7,1;7,9;9,1;11,7;7,7;340;405;480;550;645;489;63;753;7737;Estimation directe
B2900;2022;Agglomération de Brest;;;3. Entre 1971-1990;;Ensemble 4P+;4,9;6,2;7,0;7,6;8,0;6,7;498;510;575;640;789;603;90;198;2242;Estimation directe
B2900;2022;Agglomération de Brest;;;3. Entre 1971-1990;;Ensemble 1P;9,2;10,8;11,8;15,0;15,7;12,0;300;325;340;370;425;352;29;161;1167;Estimation directe
B2900;2022;Agglomération de Brest;;;3. Entre 1971-1990;;Ensemble 2P;7,5;8,1;8,9;9,3;10,8;8,9;370;400;420;450;480;422;47;235;2407;Estimation directe
B2900;2022;Agglomération de Brest;;;3. Entre 1971-1990;;Ensemble 3P;6,3;6,9;7,4;7,8;8,5;7,3;433;467;500;549;620;509;70;159;1921;Estimation directe
B2900;2022;Agglomération de Brest;;;3. Entre 1971-1990;1. Moins de 1 an;;7,1;7,5;8,3;10,3;11,7;8,3;350;400;483;575;745;504;61;209;;Estimation directe
B2900;2022;Agglomération de Brest;;;3. Entre 1971-1990;1. Moins de 1 an;Maison 4P+;;;;;;;;;;;;;;11;;Estimation directe
B2900;2022;Agglomération de Brest;;;3. Entre 1971-1990;1. Moins de 1 an;Appart 1P;10,8;10,8;11,7;13,1;13,5;11,8;325;325;350;365;400;355;30;60;;Estimation directe
B2900;2022;Agglomération de Brest;;;3. Entre 1971-1990;1. Moins de 1 an;Appart 2P;7,5;8,8;8,9;9,8;10,8;9,0;400;405;420;450;490;431;48;66;;Estimation directe
B2900;2022;Agglomération de Brest;;;3. Entre 1971-1990;1. Moins de 1 an;Appart 3P;;;;;;;;;;;;;;32;;Estimation directe
B2900;2022;Agglomération de Brest;;;3. Entre 1971-1990;1. Moins de 1 an;Appart 4P+;;;;;;;;;;;;;;40;;Estimation directe
B2900;2022;Agglomération de Brest;;;3. Entre 1971-1990;2. 1 an et plus;;5,7;6,6;7,6;9,0;11,9;7,4;340;405;470;540;609;480;64;544;;Estimation directe
B2900;2022;Agglomération de Brest;;;3. Entre 1971-1990;2. 1 an et plus;Maison 1-3P;;;;;;;;;;;;;;4;;Estimation directe
B2900;2022;Agglomération de Brest;;;3. Entre 1971-1990;2. 1 an et plus;Maison 4P+;;;;;;;;;;;;;;24;;Estimation directe
B2900;2022;Agglomération de Brest;;;3. Entre 1971-1990;2. 1 an et plus;Appart 1P;8,5;10,5;12,8;15,0;18,9;12,2;300;311;340;370;450;349;29;101;;Estimation directe
B2900;2022;Agglomération de Brest;;;3. Entre 1971-1990;2. 1 an et plus;Appart 2P;7,6;8,0;8,9;9,0;10,7;8,9;354;400;406;450;477;416;47;169;;Estimation directe
B2900;2022;Agglomération de Brest;;;3. Entre 1971-1990;2. 1 an et plus;Appart 3P;5,8;6,4;7,3;8,0;8,8;7,3;416;450;490;540;563;493;68;123;;Estimation directe
B2900;2022;Agglomération de Brest;;;3. Entre 1971-1990;2. 1 an et plus;Appart 4P+;5,3;6,1;6,6;7,1;7,3;6,6;448;498;539;595;680;565;86;123;;Estimation directe
B2900;2022;Agglomération de Brest;;;4. Entre 1991-2005;;;7,0;8,2;9,8;12,7;15,3;9,1;300;342;450;630;834;509;56;524;4172;Estimation directe
B2900;2022;Agglomération de Brest;;;4. Entre 1991-2005;;Ensemble 4P+;6,4;6,5;7,6;9,1;9,4;7,8;680;770;834;900;960;824;106;69;924;Estimation directe
B2900;2022;Agglomération de Brest;;;4. Entre 1991-2005;;Ensemble 1P;11,7;12,4;14,0;18,1;19,4;14,1;280;300;325;350;350;321;23;230;969;Estimation directe
B2900;2022;Agglomération de Brest;;;4. Entre 1991-2005;;Ensemble 2P;8,8;9,8;10,2;11,4;13,7;10,3;342;342;420;460;490;415;40;155;1467;Estimation directe
B2900;2022;Agglomération de Brest;;;4. Entre 1991-2005;;Ensemble 3P;6,6;7,0;8,2;8,7;9,7;8,0;530;530;555;630;760;585;73;70;811;Estimation directe
B2900;2022;Agglomération de Brest;;;4. Entre 1991-2005;1. Moins de 1 an;;9,1;9,9;12,4;18,1;18,4;11,1;300;325;350;508;960;458;41;180;;Estimation directe
B2900;2022;Agglomération de Brest;;;4. Entre 1991-2005;1. Moins de 1 an;Maison 1-3P;;;;;;;;;;;;;;3;;Estimation directe
B2900;2022;Agglomération de Brest;;;4. Entre 1991-2005;1. Moins de 1 an;Maison 4P+;;;;;;;;;;;;;;11;;Estimation directe
B2900;2022;Agglomération de Brest;;;4. Entre 1991-2005;1. Moins de 1 an;Appart 1P;12,0;12,5;14,0;18,1;19,4;14,7;300;300;325;350;350;327;22;105;;Estimation directe
B2900;2022;Agglomération de Brest;;;4. Entre 1991-2005;1. Moins de 1 an;Appart 2P;;;;;;;;;;;;;;39;;Estimation directe
B2900;2022;Agglomération de Brest;;;4. Entre 1991-2005;1. Moins de 1 an;Appart 3P;;;;;;;;;;;;;;15;;Estimation directe
B2900;2022;Agglomération de Brest;;;4. Entre 1991-2005;1. Moins de 1 an;Appart 4P+;;;;;;;;;;;;;;7;;Estimation directe
B2900;2022;Agglomération de Brest;;;4. Entre 1991-2005;2. 1 an et plus;;6,6;7,6;9,1;10,8;13,4;8,5;327;394;490;680;794;533;62;344;;Estimation directe
B2900;2022;Agglomération de Brest;;;4. Entre 1991-2005;2. 1 an et plus;Maison 1-3P;;;;;;;;;;;;;;3;;Estimation directe
B2900;2022;Agglomération de Brest;;;4. Entre 1991-2005;2. 1 an et plus;Maison 4P+;;;;;;;;;;;;;;33;;Estimation directe
B2900;2022;Agglomération de Brest;;;4. Entre 1991-2005;2. 1 an et plus;Appart 1P;10,7;12,3;13,4;14,0;15,4;12,9;279;280;295;327;367;308;24;125;;Estimation directe
B2900;2022;Agglomération de Brest;;;4. Entre 1991-2005;2. 1 an et plus;Appart 2P;8,8;9,8;10,2;11,4;13,7;10,3;342;342;420;460;490;415;40;115;;Estimation directe
B2900;2022;Agglomération de Brest;;;4. Entre 1991-2005;2. 1 an et plus;Appart 3P;6,6;7,0;8,2;8,2;9,4;7,8;530;530;553;601;630;563;73;50;;Estimation directe
B2900;2022;Agglomération de Brest;;;4. Entre 1991-2005;2. 1 an et plus;Appart 4P+;;;;;;;;;;;;;;18;;Estimation directe
B2900;2022;Agglomération de Brest;;;5. Après 2005;;;7,8;8,5;9,1;9,8;10,6;8,9;410;488;593;780;890;633;71;985;3701;Estimation directe
B2900;2022;Agglomération de Brest;;;5. Après 2005;;Ensemble 4P+;7,1;8,2;8,6;8,9;10,0;8,4;697;750;802;890;960;825;98;163;1122;Estimation directe
B2900;2022;Agglomération de Brest;;;5. Après 2005;;Ensemble 1P;9,8;10,5;11,7;11,9;13,3;11,3;299;331;370;370;428;360;32;74;233;Estimation directe
B2900;2022;Agglomération de Brest;;;5. Après 2005;;Ensemble 2P;8,2;9,1;10,0;10,6;11,2;9,7;391;410;450;475;500;444;46;447;1305;Estimation directe
B2900;2022;Agglomération de Brest;;;5. Après 2005;;Ensemble 3P;8,4;8,9;9,1;9,5;9,8;9,1;516;560;580;618;635;586;65;301;1040;Estimation directe
B2900;2022;Agglomération de Brest;;;5. Après 2005;1. Moins de 1 an;;8,2;8,3;9,1;9,8;10,7;8,9;450;580;625;802;890;672;76;308;;Estimation directe
B2900;2022;Agglomération de Brest;;;5. Après 2005;1. Moins de 1 an;Maison 1-3P;;;;;;;;;;;;;;1;;Estimation directe
B2900;2022;Agglomération de Brest;;;5. Après 2005;1. Moins de 1 an;Maison 4P+;;;;;;;;;;;;;;33;;Estimation directe
B2900;2022;Agglomération de Brest;;;5. Après 2005;1. Moins de 1 an;Appart 1P;;;;;;;;;;;;;;32;;Estimation directe
B2900;2022;Agglomération de Brest;;;5. Après 2005;1. Moins de 1 an;Appart 2P;9,2;10,0;10,6;11,0;12,4;10,5;400;430;455;475;500;450;43;130;;Estimation directe
B2900;2022;Agglomération de Brest;;;5. Après 2005;1. Moins de 1 an;Appart 3P;8,4;8,8;9,1;9,5;9,8;9,1;564;580;580;620;635;594;66;92;;Estimation directe
B2900;2022;Agglomération de Brest;;;5. Après 2005;1. Moins de 1 an;Appart 4P+;;;;;;;;;;;;;;20;;Estimation directe
B2900;2022;Agglomération de Brest;;;5. Après 2005;2. 1 an et plus;;7,7;8,6;9,1;9,7;10,6;8,9;406;460;572;768;900;611;69;677;;Estimation directe
B2900;2022;Agglomération de Brest;;;5. Après 2005;2. 1 an et plus;Maison 1-3P;;;;;;;;;;;;;;6;;Estimation directe
B2900;2022;Agglomération de Brest;;;5. Après 2005;2. 1 an et plus;Maison 4P+;7,1;7,8;8,6;8,7;9,1;8,2;731;780;845;900;960;849;103;71;;Estimation directe
B2900;2022;Agglomération de Brest;;;5. Après 2005;2. 1 an et plus;Appart 1P;;;;;;;;;;;;;;42;;Estimation directe
B2900;2022;Agglomération de Brest;;;5. Après 2005;2. 1 an et plus;Appart 2P;8,2;9,1;9,7;10,3;11,0;9,5;387;410;450;475;500;443;47;317;;Estimation directe
B2900;2022;Agglomération de Brest;;;5. Après 2005;2. 1 an et plus;Appart 3P;8,5;8,9;9,1;9,2;9,6;9,0;490;543;566;590;611;560;62;202;;Estimation directe
B2900;2022;Agglomération de Brest;;;5. Après 2005;2. 1 an et plus;Appart 4P+;;;;;;;;;;;;;;39;;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;;;;6,3;7,2;8,2;9,0;9,7;7,9;600;680;780;875;960;778;98;283;3647;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;;;Maison 1-3P;;;;;;;;;;;;;;30;;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;;;Maison 4P+;6,3;7,0;8,1;8,7;9,4;7,8;600;730;789;881;960;794;102;253;3011;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;;1. Moins de 1 an;;6,1;7,4;8,3;9,1;10,4;8,2;625;740;800;880;960;813;99;83;;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;;1. Moins de 1 an;Maison 1-3P;;;;;;;;;;;;;;6;;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;;1. Moins de 1 an;Maison 4P+;6,1;7,4;8,3;9,1;9,9;8,1;625;740;800;880;960;817;101;77;;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;;2. 1 an et plus;;6,4;7,1;8,1;8,7;9,5;7,7;566;659;760;848;900;758;98;200;;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;;2. 1 an et plus;Maison 1-3P;;;;;;;;;;;;;;24;;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;;2. 1 an et plus;Maison 4P+;6,3;6,8;7,7;8,6;9,1;7,6;566;720;780;900;950;779;103;176;;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;1. Avant 1946;;;;;;;;;;;;;;;;30;;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;1. Avant 1946;;Maison 1-3P;;;;;;;;;;;;;;6;;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;1. Avant 1946;;Maison 4P+;;;;;;;;;;;;;;24;;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;1. Avant 1946;1. Moins de 1 an;;;;;;;;;;;;;;;7;;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;1. Avant 1946;2. 1 an et plus;;;;;;;;;;;;;;;23;;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;2. Entre 1946-1970;;;6,1;6,7;7,6;9,6;9,9;7,9;515;600;728;800;950;740;93;53;763;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;2. Entre 1946-1970;;Maison 1-3P;;;;;;;;;;;;;;7;;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;2. Entre 1946-1970;;Maison 4P+;;;;;;;;;;;;;;46;;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;2. Entre 1946-1970;1. Moins de 1 an;;;;;;;;;;;;;;;17;;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;2. Entre 1946-1970;2. 1 an et plus;;;;;;;;;;;;;;;36;;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;3. Entre 1971-1990;;;;;;;;;;;;;;;;39;;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;3. Entre 1971-1990;;Maison 1-3P;;;;;;;;;;;;;;4;;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;3. Entre 1971-1990;;Maison 4P+;;;;;;;;;;;;;;35;;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;3. Entre 1971-1990;1. Moins de 1 an;;;;;;;;;;;;;;;11;;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;3. Entre 1971-1990;2. 1 an et plus;;;;;;;;;;;;;;;28;;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;4. Entre 1991-2005;;;6,4;6,5;7,6;9,1;9,1;7,8;680;760;823;900;960;827;106;50;652;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;4. Entre 1991-2005;;Maison 1-3P;;;;;;;;;;;;;;6;;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;4. Entre 1991-2005;;Maison 4P+;;;;;;;;;;;;;;44;;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;4. Entre 1991-2005;1. Moins de 1 an;;;;;;;;;;;;;;;14;;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;4. Entre 1991-2005;2. 1 an et plus;;;;;;;;;;;;;;;36;;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;5. Après 2005;;;7,1;8,2;8,6;8,9;9,7;8,4;625;750;802;890;960;820;97;111;990;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;5. Après 2005;;Maison 1-3P;;;;;;;;;;;;;;7;;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;5. Après 2005;;Maison 4P+;6,8;8,2;8,6;8,8;9,4;8,3;730;780;845;900;960;842;101;104;867;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;5. Après 2005;1. Moins de 1 an;;;;;;;;;;;;;;;34;;Estimation directe
B2900;2022;Agglomération de Brest;;Maison;5. Après 2005;2. 1 an et plus;;7,1;8,1;8,6;8,9;9,7;8,4;630;731;800;900;960;810;97;77;;Estimation directe
B2900;2022;Agglomération de Brest;;Appartement;;;;6,7;7,5;9,0;10,6;13,1;8,6;325;390;454;540;630;474;55;4714;23450;Estimation directe
B2900;2022;Agglomération de Brest;;Appartement;;;Appart 1P;9,6;11,2;13,0;16,4;19,4;13,0;280;300;325;365;395;334;26;971;3713;Estimation directe
B2900;2022;Agglomération de Brest;;Appartement;;;Appart 2P;7,6;8,4;9,6;10,8;12,7;9,4;330;380;420;461;490;419;44;1654;8722;Estimation directe
B2900;2022;Agglomération de Brest;;Appartement;;;Appart 3P;6,7;7,2;8,2;9,1;9,9;8,2;421;470;530;590;635;530;65;1343;6820;Estimation directe
B2900;2022;Agglomération de Brest;;Appartement;;;Appart 4P+;5,8;6,6;7,2;7,9;8,8;7,2;439;513;575;680;840;621;87;746;4195;Estimation directe
B2900;2022;Agglomération de Brest;;Appartement;;1. Moins de 1 an;;7,3;8,3;9,7;11,8;14,7;9,5;325;380;455;575;640;473;50;1518;;Estimation directe
B2900;2022;Agglomération de Brest;;Appartement;;1. Moins de 1 an;Appart 1P;10,4;11,5;13,0;18,1;19,8;13,6;296;320;330;375;400;343;25;403;;Estimation directe
B2900;2022;Agglomération de Brest;;Appartement;;1. Moins de 1 an;Appart 2P;8,2;8,9;10,0;11,6;13,0;10,0;330;398;420;470;500;426;42;495;;Estimation directe
B2900;2022;Agglomération de Brest;;Appartement;;1. Moins de 1 an;Appart 3P;7,2;7,6;9,1;9,8;10,9;8,8;470;500;580;620;675;573;65;409;;Estimation directe
B2900;2022;Agglomération de Brest;;Appartement;;1. Moins de 1 an;Appart 4P+;6,1;6,9;7,3;8,0;9,0;7,5;440;517;575;700;830;620;83;211;;Estimation directe
B2900;2022;Agglomération de Brest;;Appartement;;2. 1 an et plus;;6,4;7,2;8,4;9,9;12,0;8,2;325;395;454;530;606;474;58;3196;;Estimation directe
B2900;2022;Agglomération de Brest;;Appartement;;2. 1 an et plus;Appart 1P;9,2;10,6;12,8;15,0;16,7;12,2;268;295;310;348;379;320;26;568;;Estimation directe
B2900;2022;Agglomération de Brest;;Appartement;;2. 1 an et plus;Appart 2P;7,2;8,1;9,3;10,5;12,0;9,2;331;370;417;460;490;415;45;1159;;Estimation directe
B2900;2022;Agglomération de Brest;;Appartement;;2. 1 an et plus;Appart 3P;6,4;7,0;7,9;8,8;9,3;7,8;400;450;500;555;592;502;65;934;;Estimation directe
B2900;2022;Agglomération de Brest;;Appartement;;2. 1 an et plus;Appart 4P+;5,6;6,4;7,2;7,8;8,7;7,1;436;513;566;673;854;622;88;535;;Estimation directe
B2900;2022;Agglomération de Brest;;Appartement;1. Avant 1946;;;6,7;7,6;9,5;12,3;15,6;9,0;300;340;400;490;600;431;48;577;1848;Estimation directe
B2900;2022;Agglomération de Brest;;Appartement;1. Avant 1946;;Appart 1P;8,6;11,2;13,8;17,9;20,6;13,4;275;300;318;360;395;324;24;206;362;Estimation directe
