Observatory;Data_year;agglomeration;Zone_complementaire;Type_habitat;epoque_construction_homogene;anciennete_locataire_homogene;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B2900;2022;Agglomération de Brest;;;;;;6,6;7,5;8,8;10,4;13,0;8,5;330;400;480;595;768;515;61;4997;27097;Estimation directe
B2900;2022;Agglomération de Brest;;;;;Maison 1-3P;;;;;;;;;;;;;;30;;Estimation directe
B2900;2022;Agglomération de Brest;;;;;Ensemble 4P+;6,0;6,6;7,4;8,3;9,1;7,5;485;545;676;802;910;696;93;999;7205;Estimation directe
B2900;2022;Agglomération de Brest;;;;;Maison 4P+;6,3;7,0;8,1;8,7;9,4;7,8;600;730;789;881;960;794;102;253;3011;Estimation directe
B2900;2022;Agglomération de Brest;;;;;Appart 1P;9,6;11,2;13,0;16,4;19,4;13,0;280;300;325;365;395;334;26;971;3713;Estimation directe
B2900;2022;Agglomération de Brest;;;;;Appart 2P;7,6;8,4;9,6;10,8;12,7;9,4;330;380;420;461;490;419;44;1654;8722;Estimation directe
B2900;2022;Agglomération de Brest;;;;;Appart 3P;6,7;7,2;8,2;9,1;9,9;8,2;421;470;530;590;635;530;65;1343;6820;Estimation directe
B2900;2022;Agglomération de Brest;;;;;Appart 4P+;5,8;6,6;7,2;7,9;8,8;7,2;439;513;575;680;840;621;87;746;4195;Estimation directe
B2900;2022;Agglomération de Brest;;;;;Ensemble 1P;9,6;11,1;13,0;16,4;19,4;13,0;280;300;325;365;396;334;26;972;3743;Estimation directe
B2900;2022;Agglomération de Brest;;;;;Ensemble 2P;7,6;8,4;9,6;10,8;12,7;9,5;330;380;420;464;499;422;45;1659;8891;Estimation directe
B2900;2022;Agglomération de Brest;;;;;Ensemble 3P;6,7;7,3;8,2;9,2;9,9;8,2;422;471;530;600;651;537;65;1367;7257;Estimation directe
B2900;2022;Agglomération de Brest;;;;1. Moins de 1 an;;7,1;8,2;9,4;11,5;14,0;9,2;325;395;480;620;780;518;56;1601;;Estimation directe
B2900;2022;Agglomération de Brest;;;;1. Moins de 1 an;Ensemble 4P+;6,1;6,9;7,9;8,8;9,4;7,9;500;590;740;860;960;729;93;288;;Estimation directe
B2900;2022;Agglomération de Brest;;;;1. Moins de 1 an;Ensemble 1P;10,4;11,5;13,0;18,1;19,8;13,6;296;320;330;375;400;343;25;403;;Estimation directe
B2900;2022;Agglomération de Brest;;;;1. Moins de 1 an;Ensemble 2P;8,2;9,0;10,0;11,6;13,0;10,1;330;400;428;475;500;436;43;497;;Estimation directe
B2900;2022;Agglomération de Brest;;;;1. Moins de 1 an;Ensemble 3P;7,2;7,6;9,1;9,8;10,9;8,8;470;500;580;620;675;573;65;413;;Estimation directe
B2900;2022;Agglomération de Brest;;;;2. 1 an et plus;;6,4;7,2;8,4;9,7;11,7;8,1;330;400;480;575;760;513;63;3396;;Estimation directe
B2900;2022;Agglomération de Brest;;;;2. 1 an et plus;Ensemble 4P+;5,7;6,5;7,3;8,1;9,0;7,3;475;533;628;782;902;681;94;711;;Estimation directe
B2900;2022;Agglomération de Brest;;;;2. 1 an et plus;Ensemble 1P;9,2;10,6;12,8;15,0;16,7;12,2;268;295;310;349;379;320;26;569;;Estimation directe
B2900;2022;Agglomération de Brest;;;;2. 1 an et plus;Ensemble 2P;7,2;8,1;9,3;10,5;12,0;9,2;333;371;418;460;490;415;45;1162;;Estimation directe
B2900;2022;Agglomération de Brest;;;;2. 1 an et plus;Ensemble 3P;6,5;7,0;8,0;8,9;9,5;7,9;409;450;511;563;630;515;65;954;;Estimation directe
B2900;2022;Agglomération de Brest;;;1. Avant 1946;;;6,6;7,5;9,0;12,0;14,7;8,8;300;357;403;530;710;458;52;607;2295;Estimation directe
B2900;2022;Agglomération de Brest;;;1. Avant 1946;;Ensemble 4P+;5,2;6,2;7,2;7,8;8,2;6,8;525;545;697;750;840;656;96;69;497;Estimation directe
