Observatory;Data_year;agglomeration;Zone_complementaire;Type_habitat;epoque_construction_homogene;anciennete_locataire_homogene;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B0600;2015;Agglomération de Nice-Menton;;;;;;9,5;11,3;13,7;16,3;19,2;13,1;450;550;690;850;1100;748;57;22820;136301;Estimation directe
B0600;2015;Agglomération de Nice-Menton;;;;;Maison 1-3P;;;;;;;;;;;;;;364;7015;
B0600;2015;Agglomération de Nice-Menton;;;;;Ensemble 4P et plus;8,2;9,6;11,5;13,9;15,6;11,8;700;850;1107;1400;1800;1199;102;2454;18679;Estimation directe
B0600;2015;Agglomération de Nice-Menton;;;;;Maison 4P et plus;;;;;;;;;;;;;;616;6011;
B0600;2015;Agglomération de Nice-Menton;;;;;Appart 1P;12,5;14,8;17,4;20;23,3;17;370;425;491;550;600;488;29;5623;26143;Estimation directe
B0600;2015;Agglomération de Nice-Menton;;;;;Appart 2P;10,3;12,3;14,3;16,3;18,7;14,1;487;568;650;734;800;649;46;8518;48411;Estimation directe
B0600;2015;Agglomération de Nice-Menton;;;;;Appart 3P;9;10,7;12,1;13,9;15,8;12,3;600;700;800;936;1064;825;67;5861;36051;Estimation directe
B0600;2015;Agglomération de Nice-Menton;;;;;Appart 4P et plus;7,5;9,2;11;13,2;15,1;11,2;650;809;1025;1250;1461;1060;94;1838;12668;Estimation directe
B0600;2015;Agglomération de Nice-Menton;;;;;Ensemble 1P;12,5;14,9;17,5;20;23,6;17,1;370;425;492;550;600;488;29;5643;26695;Estimation directe
B0600;2015;Agglomération de Nice-Menton;;;;;Ensemble 2P;10;12,2;14,3;16,3;18,8;14;479;560;648;730;800;645;46;8577;50630;Estimation directe
B0600;2015;Agglomération de Nice-Menton;;;;;Ensemble 3P;8,9;10,6;12,1;13,9;15,9;12,2;600;700;801;954;1100;836;68;6146;40297;Estimation directe
B0600;2015;Agglomération de Nice-Menton;;;;1. Moins de 1 an;;10,5;12,3;14,5;17,4;20;14,1;450;550;680;820;1100;743;53;5242;;Estimation directe
B0600;2015;Agglomération de Nice-Menton;;;;1. Moins de 1 an;Ensemble 4P et plus;9;10;12,3;14,7;17,5;12,9;750;949;1200;1500;1950;1285;100;511;;Estimation directe
B0600;2015;Agglomération de Nice-Menton;;;;1. Moins de 1 an;Ensemble 1P;13,1;15,4;17,9;20;24,5;17,5;380;445;500;550;610;496;28;1465;;Estimation directe
B0600;2015;Agglomération de Nice-Menton;;;;1. Moins de 1 an;Ensemble 2P;11,1;13;14,9;16,7;19,1;14,7;500;600;658;740;800;658;45;1965;;Estimation directe
B0600;2015;Agglomération de Nice-Menton;;;;1. Moins de 1 an;Ensemble 3P;9,9;11,3;12,5;14,3;16,7;12,9;670;740;830;970;1100;865;67;1301;;Estimation directe
B0600;2015;Agglomération de Nice-Menton;;;;2. 1 an et plus;;9,2;11,1;13,4;15,9;18,8;12,8;450;550;690;860;1105;749;58;17578;;Estimation directe
B0600;2015;Agglomération de Nice-Menton;;;;2. 1 an et plus;Ensemble 4P et plus;;;;;;;;;;;;;;1943;;
B0600;2015;Agglomération de Nice-Menton;;;;2. 1 an et plus;Ensemble 1P;;;;;;;;;;;;;;4178;;
