Observatory;Data_year;agglomeration;Zone_complementaire;Type_habitat;epoque_construction_homogene;anciennete_locataire_homogene;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B0600;2016;Agglomération de Nice-Menton;;;;;;9,3;11,2;13,5;16;18,8;13;455;550;688;850;1100;738;57;20635;137824;Estimation directe
B0600;2016;Agglomération de Nice-Menton;;;;;Maison 1-3P;;;;;;;;;;;;;;427;7554;
B0600;2016;Agglomération de Nice-Menton;;;;;Ensemble 4P et plus;7,6;9,1;11,1;13;15,2;11,1;657;800;1000;1300;1566;1089;98;2088;18767;Estimation directe
B0600;2016;Agglomération de Nice-Menton;;;;;Maison 4P et plus;;;;;;;;;;;;;;553;6151;
B0600;2016;Agglomération de Nice-Menton;;;;;Appart 1P;12,8;14,9;17,1;19,7;22,5;16,8;380;435;499;550;600;493;29;4789;26746;Estimation directe
B0600;2016;Agglomération de Nice-Menton;;;;;Appart 2P;10,5;12,3;14,2;16,1;18,4;14,2;485;575;650;733;811;655;46;8035;48353;Estimation directe
B0600;2016;Agglomération de Nice-Menton;;;;;Appart 3P;8,9;10,3;11,9;13,9;16;12,2;600;700;808;950;1100;840;69;5296;36403;Estimation directe
B0600;2016;Agglomération de Nice-Menton;;;;;Appart 4P et plus;7,8;9,3;11,1;12,9;14,6;11,1;650;800;965;1200;1450;1022;92;1535;12616;Estimation directe
B0600;2016;Agglomération de Nice-Menton;;;;;Ensemble 1P;12,5;14,8;17,1;19,7;22,4;16,8;380;435;500;550;600;493;29;4807;27315;Estimation directe
B0600;2016;Agglomération de Nice-Menton;;;;;Ensemble 2P;10,4;12,2;14,1;16;18,4;14,1;480;570;650;730;801;652;46;8166;50747;Estimation directe
B0600;2016;Agglomération de Nice-Menton;;;;;Ensemble 3P;8,7;10,3;11,9;13,9;16;12,2;600;700;815;956;1135;844;69;5574;40995;Estimation directe
B0600;2016;Agglomération de Nice-Menton;;;;1. Moins de 1 an;;10,4;12,2;14,3;16,8;19,8;13,8;457;550;684;864;1090;741;54;4221;;Estimation directe
B0600;2016;Agglomération de Nice-Menton;;;;1. Moins de 1 an;Ensemble 4P et plus;8,5;10;11,5;13,4;15,6;11,7;750;950;1130;1400;1700;1195;103;378;;Estimation directe
B0600;2016;Agglomération de Nice-Menton;;;;1. Moins de 1 an;Ensemble 1P;13,5;15,5;18;20,4;23,5;17,7;385;435;500;550;600;495;28;1078;;Estimation directe
B0600;2016;Agglomération de Nice-Menton;;;;1. Moins de 1 an;Ensemble 2P;11,4;13;14,5;16,3;18,4;14,7;506;600;660;730;840;668;46;1783;;Estimation directe
B0600;2016;Agglomération de Nice-Menton;;;;1. Moins de 1 an;Ensemble 3P;10;11,2;12,7;14,4;16,4;12,8;650;747;860;966;1115;874;68;982;;Estimation directe
B0600;2016;Agglomération de Nice-Menton;;;;2. 1 an et plus;;8,9;10,8;13,2;15,8;18,5;12,7;453;550;688;850;1100;738;58;16414;;Estimation directe
B0600;2016;Agglomération de Nice-Menton;;;;2. 1 an et plus;Ensemble 4P et plus;;;;;;;;;;;;;;1710;;
